,,,,公 民 館 数,,図 書 館 数,,博 物 館 数,,青少年教育施設数,,常設映画館数,,社会体育施設数,,多目的運動広場数,,青少年学級・講座数,,成人一般学級・講座数,,都,,,,,女性学級・講座数,,高齢者学級・講座数,,ボランティア活動の,,スポーツの年間行動者率,,旅行・行楽の年間行動者率,,海外旅行の年間行動者率,,客室稼働率,,一般旅券発行件数,,都
,,,,（人口100万人当たり）,,（人口100万人当たり）,,（人口100万人当たり）,,（人口100万人当たり）,,（人口100万人当たり）,,（人口100万人当たり）,,（人口100万人当たり）,,（人口100万人当たり）,,（人口100万人当たり）,,道,,,,,（女性人口100万人当たり）,,（人口100万人当たり）,,年間行動者率,,（10歳以上）,,（10歳以上）,,（10歳以上）,, ,,（人口千人当たり）,,道
,単　位,,,館,,館,,館,,所,,館,,施設,,施設,,学級･講座,,学級･講座,,｜,,単　位,,,学級･講座,,学級･講座,,％,,％,,％,,％,,％,,件,,｜
,年　度,,,2011,,2011,,2011,,2011,,2014,,2011,,2011,,2010,,2010,,ド,,年　度,,,2010,,2010,,2011,,2011,,2011,,2011,,2015,,2015,,ド
,都  道  府  県,,,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,,,都  道  府  県,,,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,指　標　値,順位,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,香川県,Kagawa-ken,,169.4,24,29.2,26,10.1,31,9.1,27,18.3,7,474.8,28,58.5,34,354.5,37,"1,561.5",35,37,37,香 川 県,Kagawa-ken,,686.2,22,243.0,36,27.8,23,59.5,35,70.7,27,5.9,26,65.5,21,17.5,29,37
38,愛媛県,Ehime-ken,,309.2,8,30.9,21,14.1,13,9.1,26,15.1,9,409.0,31,78.7,23,"1,404.1",7,"3,111.4",17,38,38,愛 媛 県,Ehime-ken,,"1,681.7",8,828.5,9,27.4,26,60.2,30,65.2,41,3.7,42,67.2,17,14.8,39,38
39,高知県,Kochi-ken,,266.5,11,44.9,7,17.2,7,19.8,2,13.6,14,534.3,21,110.8,14,"1,249.3",10,"5,832.9",7,39,39,高 知 県,Kochi-ken,,"1,909.6",7,"1,406.2",2,23.7,41,54.7,45,56.7,46,4.2,37,61.4,39,12.4,43,39
40,福岡県,Fukuoka-ken,,71.9,38,22.6,38,5.7,43,7.1,34,36.7,1,277.0,39,47.8,38,700.9,27,"2,490.2",24,40,40,福 岡 県,Fukuoka-ken,,386.5,33,387.0,28,27.3,27,59.6,34,72.1,22,6.6,18,73.5,10,24.2,11,40
41,佐賀県,Saga-ken,,154.7,26,34.2,16,13.0,19,11.8,13,6.0,39,591.5,16,149.9,2,"1,380.3",8,"1,908.7",30,41,41,佐 賀 県,Saga-ken,,453.7,29,396.6,27,31.8,9,57.8,37,68.4,33,6.0,25,63.1,32,17.1,30,41
42,長崎県,Nagasaki-ken,,136.2,29,26.8,29,11.3,24,9.9,21,20.2,5,575.2,18,120.0,10,"1,243.4",11,"2,547.0",22,42,42,長 崎 県,Nagasaki-ken,,"1,106.6",16,600.7,14,26.9,29,60.1,32,65.0,43,5.2,33,71.7,12,15.8,35,42
43,熊本県,Kumamoto-ken,,221.7,17,24.8,33,8.8,33,7.7,31,31.2,2,482.6,26,111.4,13,"1,233.1",12,"2,029.2",28,43,43,熊 本 県,Kumamoto-ken,,302.9,36,425.3,25,30.7,14,60.3,28,67.7,36,5.6,28,65.4,22,18.4,27,43
44,大分県,Oita-ken,,210.7,18,29.4,25,11.8,23,11.8,14,12.0,19,510.5,24,90.7,18,"1,443.3",6,"5,198.4",8,44,44,大 分 県,Oita-ken,,"2,043.9",6,"1,077.3",6,28.9,19,60.6,27,68.1,35,5.6,28,64.4,27,15.2,38,44
45,宮崎県,Miyazaki-ken,,99.9,33,24.8,34,8.0,37,5.3,42,12.6,18,610.1,12,114.9,11,157.7,44,"1,638.4",34,45,45,宮 崎 県,Miyazaki-ken,,219.2,39,451.0,22,27.8,23,61.9,23,64.9,44,4.1,39,61.6,37,13.4,41,45
46,鹿児島県,Kagoshima-ken,,140.7,28,37.1,12,10.6,29,10.6,17,7.8,29,606.8,13,146.0,4,562.6,30,"4,263.2",11,46,46,鹿児島県,Kagoshima-ken,,"1,425.2",10,695.7,10,34.4,3,61.4,25,67.0,37,3.1,44,62.8,35,12.8,42,46
47,沖縄県,Okinawa-ken,,61.4,40,27.1,27,6.4,40,8.6,28,9.1,26,282.7,38,59.2,33,343.9,39,682.1,44,47,47,沖 縄 県,Okinawa-ken,,369.3,34,53.1,45,22.4,46,62.3,17,50.8,47,5.4,31,77.8,5,22.3,15,47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
